Date	Time	Event	Event Code	KP	Easting	Northing	DCC (m)	Depth (m)	VideoNo	CP (mV)	Anomaly	Length (m)	Width (m)	Height (m)	Offset (m)	Comment
14/08/2017	0.461090278	Annual Inspection Survey Start	SRVS	-0.00489	335893.762	6464419.342	0.617	138.526	VI040			1792.583				PL825 - (02. Pipeline to WWIM)
14/08/2017	0.461012731	Visibility Status Exposure Start	EXS	-0.00485	335893.783	6464419.309	0.601	138.54	VI040			14.28				
14/08/2017	0.461015046	Flange	FL	-0.00485	335893.783	6464419.308	0.601	138.54	VI040							Tie-in flange at Scott Platform
14/08/2017	0.462947917	Visibility Status Exposure End	EXE	0.00943	335901.037	6464407.528	-3.282	141.116	VI040			14.28				
14/08/2017	0.462971065	Debris Other metallic debris	DBM	0.00996	335901.094	6464407.384	-3.249	141.141	VI040			0.25	0.25	0.1		Metallic debris on pipe track
14/08/2017	0.463539352	Visibility Status Exposure Start	EXS	0.0129	335901.8	6464404.197	-1.9	141.192	VI040			41.225				Exposure seen in MBES
14/08/2017	0.463726852	Debris Scaffold	DBM	0.01737	335898.96	6464398.849	-0.896	141.016	VI040			2	0.7	0.05		Scaffold pole on pipe track
14/08/2017	0.464103009	Anode Bracelet	AN	0.01923	335896.983	6464398.362	-0.453	140.989	VI040	-1003						Contact CP reading -1003mV. 25-50% depleted
14/08/2017	0.464550926	CP Anode	CP	0.02003	335896.213	6464398.178	-0.43	140.989	VI040	-1003						Contact CP reading -1003mV
14/08/2017	0.465787037	Debris Wire	DBM	0.02923	335887.254	6464396.061	-0.14	141.017	VI040			4	0.4	0.03	0.4	Cable north of pipe
14/08/2017	0.465939815	Debris Scaffold	DBM	0.03133	335885.198	6464395.588	-0.07	141.028	VI040			0.3	1.5	0.05	0.2	Scaffold pole south of pipe
14/08/2017	0.466634259	Debris Scaffold	DBM	0.04187	335874.925	6464393.252	0.217	141.044	VI040			1.75	0.1	0.05		Scaffold pole in contact with north of pipe
14/08/2017	0.466925926	Debris Scaffold	DBM	0.04587	335871.028	6464392.341	0.244	141.055	VI040			3	0.3	0.2		Scaffold pole on top of pipe
14/08/2017	0.467133102	Debris Scaffold	DBM	0.04994	335867.077	6464391.365	0.164	141.086	VI040			0.7	3	0.2		Scaffold pole on top of pipe
14/08/2017	0.467356481	Visibility Status Exposure End	EXE	0.05412	335863.018	6464390.359	0.076	141.182	VI040			41.225				Exposure seen in MBES
14/08/2017	0.467452546	Debris Wire	DBM	0.05575	335861.439	6464389.978	0.053	141.23	VI040			0.02	4	0.01		Wire on pipe track
14/08/2017	0.467579861	Visibility Status Exposure Start	EXS	0.0581	335859.142	6464389.468	0.065	141.298	VI040			38.858				Exposure seen in MBES
14/08/2017	0.469537037	Debris Other metallic debris	DBM	0.09257	335825.23	6464383.255	-0.663	141.791	VI040			0.3	3	0.05		Scaffold pole on pipe track
14/08/2017	0.469737269	Visibility Status Exposure End	EXE	0.09696	335820.881	6464382.617	-0.851	141.897	VI040			38.858				Exposure seen in MBES
14/08/2017	0.470341435	Visibility Status Exposure Start	EXS	0.10818	335809.801	6464381.042	-1.236	142.104	VI040			32.575				Exposure seen in MBES
14/08/2017	0.470640046	Start of FreeSpan	FSS	0.11293	335805.205	6464380.217	-1.252	142.152	VI040			10.641		0.405		
14/08/2017	0.470983796	Anode Bracelet	AN	0.11823	335800.043	6464379.433	-0.713	142.206	VI040	-1016						Contact CP reading -1016mV. <25% depleted
14/08/2017	0.471175926	CP Anode	CP	0.11874	335799.542	6464379.352	-0.645	142.207	VI040	-1016						Contact CP reading -1016mV
14/08/2017	0.472324074	End of FreeSpan	FSE	0.12357	335794.738	6464378.525	-0.134	142.16	VI040			10.641		0.405		
14/08/2017	0.473519676	Visibility Status Exposure End	EXE	0.14076	335777.785	6464375.623	0.698	141.535	VI040			32.575				Exposure seen in MBES
14/08/2017	0.47405787	Visibility Status Exposure Start	EXS	0.15165	335767.105	6464373.64	0.702	141.262	VI040			16.795				Exposure seen in MBES
14/08/2017	0.474543981	Start of FreeSpan	FSS	0.16011	335758.799	6464371.996	0.4	141.248	VI040			4.298		0.063		
14/08/2017	0.474795139	End of FreeSpan	FSE	0.16441	335754.581	6464371.162	0.294	141.258	VI040			4.298		0.063		
14/08/2017	0.475	Visibility Status Exposure End	EXE	0.16845	335750.619	6464370.378	0.101	141.362	VI040			16.795				Exposure seen in MBES
14/08/2017	0.475417824	Visibility Status Exposure Start	EXS	0.17616	335743.035	6464368.877	-0.437	141.641	VI040			66.118				Exposure seen in MBES
14/08/2017	0.475765046	Start of FreeSpan	FSS	0.1828	335736.51	6464367.588	-0.914	141.944	VI040		3	17.973		0.804		
14/08/2017	0.476738426	End of FreeSpan	FSE	0.20078	335718.896	6464364.087	-1.841	142.147	VI040			17.973		0.804		
14/08/2017	0.478046296	Start of FreeSpan	FSS	0.22168	335698.461	6464360.178	-2.058	141.702	VI040			5.744		0.074		
14/08/2017	0.478353009	End of FreeSpan	FSE	0.22742	335692.937	6464358.991	-2.043	141.626	VI040			5.744		0.074		
14/08/2017	0.478582176	Start of FreeSpan	FSS	0.23229	335688.242	6464358.144	-1.678	141.555	VI040			5.418		0.08		
14/08/2017	0.47881713	End of FreeSpan	FSE	0.23771	335682.906	6464357.027	-1.072	141.473	VI040			5.418		0.08		
14/08/2017	0.479016204	Visibility Status Exposure End	EXE	0.24228	335678.378	6464356.183	-0.428	141.404	VI040			66.118				Exposure seen in MBES
14/08/2017	0.479427083	Visibility Status Exposure Start	EXS	0.25085	335669.904	6464354.595	0.54	141.552	VI040			16.388				Exposure seen in MBES
14/08/2017	0.480273148	Visibility Status Exposure End	EXE	0.26724	335653.896	6464351.231	1.383	142.134	VI040			16.388				Exposure seen in MBES
14/08/2017	0.480972222	Visibility Status Exposure Start	EXS	0.27914	335642.18	6464349.059	1.715	142.2	VI040			2.1				Exposure seen in MBES
14/08/2017	0.481079861	Visibility Status Exposure End	EXE	0.28124	335640.11	6464348.709	1.843	142.19	VI040			2.1				Exposure seen in MBES
14/08/2017	0.481668981	Visibility Status Exposure Start	EXS	0.29393	335627.771	6464346.15	1.93	142.09	VI040			4.664				
14/08/2017	0.48180787	Visibility Status Exposure End	EXE	0.29859	335623.241	6464345.117	1.712	142.072	VI040			4.664				
14/08/2017	0.482594907	Visibility Status Exposure Start	EXS	0.31902	335603.308	6464340.781	0.627	142.214	VI040			12.143				Exposure seen in MBES
14/08/2017	0.483246528	Visibility Status Exposure End	EXE	0.33117	335591.355	6464338.449	-0.473	142.27	VI040			12.143				Exposure seen in MBES
14/08/2017	0.484881944	Visibility Status Exposure Start	EXS	0.36238	335560.893	6464331.944	0.093	142.068	VI040			1.773				Exposure seen in MBES
14/08/2017	0.484965278	Visibility Status Exposure End	EXE	0.36415	335559.159	6464331.595	0.152	142.089	VI040			1.773				Exposure seen in MBES
14/08/2017	0.487657407	Visibility Status Exposure Start	EXS	0.42844	335496.474	6464317.313	-0.377	142.232	VI040			0.515				Exposure seen in MBES
14/08/2017	0.487681713	Visibility Status Exposure End	EXE	0.42896	335495.967	6464317.195	-0.403	142.232	VI040			0.515				Exposure seen in MBES
14/08/2017	0.511122685	Visibility Status Exposure Start	EXS	0.98794	334948.06	6464209.235	-0.76	141.599	VI040			12.658				
14/08/2017	0.511159722	Start of FreeSpan	FSS	0.98895	334947.082	6464209.004	-0.737	141.603	VI040			6.791		0.132		
14/08/2017	0.51121875	Debris Netting	DBS	0.99056	334945.508	6464208.642	-0.689	141.609	VI040			1.2	0.6	0.4		Fishing net in contact with north of pipe
14/08/2017	0.511395833	End of FreeSpan	FSE	0.99574	334940.4	6464207.585	-0.471	141.598	VI040			6.791		0.132		
14/08/2017	0.51159375	Visibility Status Exposure End	EXE	1.0006	334935.617	6464206.715	-0.458	141.594	VI040			12.658				
14/08/2017	0.512545139	Visibility Status Exposure Start	EXS	1.02128	334915.379	6464202.438	-1.008	141.628	VI040			4.549				
14/08/2017	0.512724537	Visibility Status Exposure End	EXE	1.02583	334910.914	6464201.565	-1.064	141.635	VI040			4.549				
14/08/2017	0.522288194	Visibility Status Exposure Start	EXS	1.14561	334793.467	6464178.352	-0.149	141.309	VI040			5.359				Exposure seen in MBES
14/08/2017	0.522519676	Visibility Status Exposure End	EXE	1.15097	334788.213	6464177.296	-0.204	141.323	VI040			5.359				Exposure seen in MBES
14/08/2017	0.529869213	Visibility Status Exposure Start	EXS	1.34905	334593.903	6464138.904	0.044	141.748	VI040			7.051				
14/08/2017	0.53012963	Visibility Status Exposure End	EXE	1.35611	334586.932	6464137.877	0.186	141.872	VI040			7.051				
14/08/2017	0.532719907	Visibility Status Exposure Start	EXS	1.42546	334518.574	6464126.162	0.44	141.674	VI040			4.225				Exposure seen in MBES
14/08/2017	0.532881944	Visibility Status Exposure End	EXE	1.42968	334514.408	6464125.334	0.868	141.776	VI040			4.225				Exposure seen in MBES
14/08/2017	0.536846065	Debris Plastic	DBS	1.53838	334407.58	6464105.968	0.787	141.897	VI040			0.5	0.3	0.3		Bucket on pipe track
14/08/2017	0.539491898	Debris Soft rope	DBS	1.61051	334336.962	6464091.225	0.361	141.778	VI040		1	0.2	1.5	2		Soft rope on pipe track. ROV hazard
14/08/2017	0.539724537	Debris Other soft debris	DBS	1.61971	334327.976	6464089.251	0.243	141.816	VI040			2.5	1.5	0.4		Ducting hose on pipe track
14/08/2017	0.539803241	Debris Netting	DBS	1.62136	334326.358	6464088.899	0.228	141.809	VI040		2	2	2	1		Fishing net on pipe track. ROV hazard
14/08/2017	0.541854167	Visibility Status Exposure Start	EXS	1.68157	334267.568	6464075.934	-0.505	141.075	VI040			15.16				
14/08/2017	0.541950231	Start of FreeSpan	FSS	1.68402	334265.188	6464075.356	-0.572	141.053	VI040			11.286		0.392		
14/08/2017	0.542391204	End of FreeSpan	FSE	1.6953	334254.079	6464073.005	-1.228	140.733	VI040			11.286		0.392		
14/08/2017	0.542434028	Visibility Status Exposure End	EXE	1.69673	334252.908	6464072.782	-1.16	140.687	VI040			15.16				
14/08/2017	0.543609954	Visibility Status Exposure Start	EXS	1.72564	334224.673	6464066.722	1.332	140.052	VI040			19.475				
14/08/2017	0.544123843	Flange	FL	1.73827	334212.81	6464064.103	1.222	139.77	VI040	-981						Sealine flange
14/08/2017	0.544321759	CP Steel	CPS	1.7391	334211.879	6464063.91	1.135	139.755	VI040	-981						Sealine flange - Inboard -981mV Outboard -981mV
14/08/2017	0.54471412	CP Steel	CPS	1.73953	334211.457	6464063.813	1.116	139.756	VI040	-982						Inline flange - Inboard -980mV Outboard -982mV
14/08/2017	0.546762731	Flange	FL	1.73954	334211.443	6464063.809	1.115	139.767	VI040	-982						Inline flange
14/08/2017	0.54837037	Visibility Status Exposure End	EXE	1.74511	334206.18	6464063.36	0.077	140.05	VI040			19.475				
14/08/2017	0.549011574	Visibility Status Exposure Start	EXS	1.7538	334197.555	6464065.369	-1.363	139.701	VI040			13.999				
14/08/2017	0.549399306	Debris Other hard debris	DBH	1.76158	334192.078	6464065.602	-1.288	139.504	VI040			0.3	0.3	0.25		Rubber sleeve on north side of pipe
14/08/2017	0.549981481	Visibility Status Exposure End	EXE	1.7678	334189.524	6464060.303	-0.419	139.397	VI040			13.999				
14/08/2017	0.551685185	Visibility Status Exposure Start	EXS	1.78109	334183.884	6464049.061	0.423	139.476	VI040			6.566				Exposure seen in MBES
14/08/2017	0.552664352	Visibility Status Exposure End	EXE	1.78766	334178.47	6464044.716	-1.617	138.075	VI040			6.566				
14/08/2017	0.552481481	Annual Inspection Survey End	SRVE	1.7877	334178.438	6464044.691	-1.631	138.066	VI040			1792.583				PL825 - (02. Pipeline to WWIM)
